Sexo;Bebidas alcohólicas;Distribución semanal;Total
Ambos sexos;Cerveza con alcohol;TOTAL;100
Ambos sexos;Cerveza con alcohol;Solo el fin de semana (V-D);57,46
Ambos sexos;Cerveza con alcohol;Solo entre semana (L-J);1,86
Ambos sexos;Cerveza con alcohol;Ambos indistintamente;40,68
Ambos sexos;Vinos o cava;TOTAL;100
Ambos sexos;Vinos o cava;Solo el fin de semana (V-D);46,59
Ambos sexos;Vinos o cava;Solo entre semana (L-J);2,58
Ambos sexos;Vinos o cava;Ambos indistintamente;50,83
Ambos sexos;Aperitivos con alcohol;TOTAL;100
Ambos sexos;Aperitivos con alcohol;Solo el fin de semana (V-D);85,61
Ambos sexos;Aperitivos con alcohol;Solo entre semana (L-J);1,23
Ambos sexos;Aperitivos con alcohol;Ambos indistintamente;13,16
Ambos sexos;Licores dulces;TOTAL;100
Ambos sexos;Licores dulces;Solo el fin de semana (V-D);69,73
Ambos sexos;Licores dulces;Solo entre semana (L-J);2,68
Ambos sexos;Licores dulces;Ambos indistintamente;27,59
Ambos sexos;Whisky,coñac,combinados;TOTAL;100
Ambos sexos;Whisky,coñac,combinados;Solo el fin de semana (V-D);93,11
Ambos sexos;Whisky,coñac,combinados;Solo entre semana (L-J);0,96
Ambos sexos;Whisky,coñac,combinados;Ambos indistintamente;5,93
Ambos sexos;Bebidas locales;TOTAL;100
Ambos sexos;Bebidas locales;Solo el fin de semana (V-D);64,14
Ambos sexos;Bebidas locales;Solo entre semana (L-J);5,03
Ambos sexos;Bebidas locales;Ambos indistintamente;30,84
Hombres;Cerveza con alcohol;TOTAL;100
Hombres;Cerveza con alcohol;Solo el fin de semana (V-D);51,67
Hombres;Cerveza con alcohol;Solo entre semana (L-J);2,32
Hombres;Cerveza con alcohol;Ambos indistintamente;46
Hombres;Vinos o cava;TOTAL;100
Hombres;Vinos o cava;Solo el fin de semana (V-D);39,55
Hombres;Vinos o cava;Solo entre semana (L-J);2,48
Hombres;Vinos o cava;Ambos indistintamente;57,97
Hombres;Aperitivos con alcohol;TOTAL;100
Hombres;Aperitivos con alcohol;Solo el fin de semana (V-D);80,96
Hombres;Aperitivos con alcohol;Solo entre semana (L-J);1,53
Hombres;Aperitivos con alcohol;Ambos indistintamente;17,51
Hombres;Licores dulces;TOTAL;100
Hombres;Licores dulces;Solo el fin de semana (V-D);65,83
Hombres;Licores dulces;Solo entre semana (L-J);3,24
Hombres;Licores dulces;Ambos indistintamente;30,94
Hombres;Whisky,coñac,combinados;TOTAL;100
Hombres;Whisky,coñac,combinados;Solo el fin de semana (V-D);91,95
Hombres;Whisky,coñac,combinados;Solo entre semana (L-J);1,12
Hombres;Whisky,coñac,combinados;Ambos indistintamente;6,94
Hombres;Bebidas locales;TOTAL;100
Hombres;Bebidas locales;Solo el fin de semana (V-D);60,62
Hombres;Bebidas locales;Solo entre semana (L-J);3,47
Hombres;Bebidas locales;Ambos indistintamente;35,91
Mujeres;Cerveza con alcohol;TOTAL;100
Mujeres;Cerveza con alcohol;Solo el fin de semana (V-D);69,25
Mujeres;Cerveza con alcohol;Solo entre semana (L-J);0,93
Mujeres;Cerveza con alcohol;Ambos indistintamente;29,81
Mujeres;Vinos o cava;TOTAL;100
Mujeres;Vinos o cava;Solo el fin de semana (V-D);58,47
Mujeres;Vinos o cava;Solo entre semana (L-J);2,75
Mujeres;Vinos o cava;Ambos indistintamente;38,78
Mujeres;Aperitivos con alcohol;TOTAL;100
Mujeres;Aperitivos con alcohol;Solo el fin de semana (V-D);91,79
Mujeres;Aperitivos con alcohol;Solo entre semana (L-J);0,85
Mujeres;Aperitivos con alcohol;Ambos indistintamente;7,36
Mujeres;Licores dulces;TOTAL;100
Mujeres;Licores dulces;Solo el fin de semana (V-D);88,62
Mujeres;Licores dulces;Solo entre semana (L-J);0
Mujeres;Licores dulces;Ambos indistintamente;11,38
Mujeres;Whisky,coñac,combinados;TOTAL;100
Mujeres;Whisky,coñac,combinados;Solo el fin de semana (V-D);96,66
Mujeres;Whisky,coñac,combinados;Solo entre semana (L-J);0,5
Mujeres;Whisky,coñac,combinados;Ambos indistintamente;2,85
Mujeres;Bebidas locales;TOTAL;100
Mujeres;Bebidas locales;Solo el fin de semana (V-D);77,89
Mujeres;Bebidas locales;Solo entre semana (L-J);11,12
Mujeres;Bebidas locales;Ambos indistintamente;10,99
