Códigos de gasto con cantidad física;Cantidades medias consumidas;Periodo;Total
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2023;304.955
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2022;286.096
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2021;265.703
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2020;257.704
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2019;264.011
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2018;239.832
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2017;240.677
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2016;248.643
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2015;265.111
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2014;272.451
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2013;279.218
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2012;278.837
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2011;277.799
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2010;278.628
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2009;298.523
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2008;289.220
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2007;275.946
01.1.1.1 T Arroz (K);Cantidad consumida total (miles de unidades);2006;257.164
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2023;15,8
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2022;15
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2021;14,1
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2020;13,7
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2019;14,1
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2018;12,9
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2017;13
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2016;13,5
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2015;14,4
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2014;14,9
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2013;15,3
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2012;15,4
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2011;15,5
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2010;15,8
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2009;17,2
01.1.1.1 T Arroz (K);Cantidad consumida media por hogar;2008;16,9
